insta_id,user,followers,following,posts,date_Scrape,url
34,newtonim,57,1,0,"2021-04-07 19:17:22",https://www.instagram.com/newtonim/?hl=en
35,handelsbanken,2675,0,0,"2021-04-07 19:24:54",https://www.instagram.com/handelsbanken/?hl=en
36,thejupiterapp,832,2,91,"2021-04-07 19:32:40",https://www.instagram.com/thejupiterapp/?hl=en
37,capitaland,19319,684,1875,"2021-04-07 19:34:14",https://www.instagram.com/capitaland/?hl=en
38,degroofpetercam,749,74,111,"2021-04-07 19:36:14",https://www.instagram.com/degroofpetercam/?hl=en
39,caixabank,103507,79,669,"2021-04-07 19:40:52",https://www.instagram.com/caixabank/?hl=en
40,lasalleim,951,152,37,"2021-04-07 19:47:19",https://www.instagram.com/lasalleim/?hl=en
41,tmamerica,411,31,507,"2021-04-07 19:48:32",https://www.instagram.com/tmamerica/?hl=en
42,baloisech,3197,1963,272,"2021-04-07 19:49:47",https://www.instagram.com/baloisech/?hl=en
43,oldmutualsa,15611,56,715,"2021-04-07 19:54:56",https://www.instagram.com/oldmutualsa/?hl=en
44,hamiltonlaneinc,299,53,222,"2021-04-07 19:55:52",https://www.instagram.com/hamiltonlaneinc/?hl=en
45,lombardodier,11780,80,512,"2021-04-07 19:56:38",https://www.instagram.com/lombardodier/?hl=en
46,tishmanspeyer,7311,1657,376,"2021-04-07 20:00:40",https://www.instagram.com/tishmanspeyer/?hl=en
47,ui_gmbh,281,118,99,"2021-04-07 20:08:27",https://www.instagram.com/ui_gmbh/?hl=en
48,raiffeisenbank_rus,44460,3,314,"2021-04-07 20:09:29",https://www.instagram.com/raiffeisenbank_rus/?hl=en
49,"??? ????????? (@cqs)",226,3,7,"2021-03-30 07:55:00",https://www.instagram.com/CQS/
